基金代码,基金简称,最新净值(元),日增长率(%),最新净值日期,是否指数基金,跟踪指数,跟踪指数市盈率,跟踪指数市净率(倍),跟踪指数股息率(%),跟踪指数roe(%),近6个月收益率(%),折扣率
004945.OF,长信中证500指数,1.70,0.72,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.68,--
004996.OF,广发恒生中型股指数(lof)c,1.06,-0.18,20210811.,指数基金,恒生综合中型股指数,--,--,3.07,4.49,-7.50,--
005051.OF,上投摩根标普港股通低波红利指数a,0.87,1.10,20210811.,指数基金,--,--,--,--,--,8.79,0.10
005052.OF,上投摩根标普港股通低波红利指数c,0.86,1.10,20210811.,指数基金,--,--,--,--,--,8.53,--
005062.OF,博时中证500指数增强a,1.58,0.95,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,7.89,0.10
005063.OF,广发中证全指家用电器指数a,1.43,0.02,20210811.,指数基金,家用电器,22.87,4.05,1.54,9.56,-7.12,0.10
005064.OF,广发中证全指家用电器指数c,1.42,0.02,20210811.,指数基金,家用电器,22.87,4.05,1.54,9.56,-7.21,--
005102.OF,工银沪深300etf联接a,1.26,-0.50,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.13,0.10
005103.OF,工银沪深300etf联接c,1.25,-0.49,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.23,--
005112.OF,银华中证全指医药卫生指数增强发起式,2.24,-2.22,20210811.,指数基金,全指医药,48.59,5.84,0.70,6.53,-0.41,0.10
005113.OF,平安沪深300指数量化增强a,1.50,-0.44,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.81,0.10
005114.OF,平安沪深300指数量化增强c,1.47,-0.44,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-8.04,--
005125.OF,红利基金c,1.18,1.17,20210811.,指数基金,标普A股红利,--,--,5.24,--,8.43,--
005137.OF,长信沪深300指数增强a,1.71,-0.31,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-6.56,--
005152.OF,农银沪深300指数c,1.77,-0.53,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.27,--
005223.OF,广发中证基建工程etf联接a,0.80,1.11,20210811.,指数基金,基建工程,7.46,0.71,2.69,5.03,14.16,0.10
005224.OF,广发中证基建工程etf联接c,0.80,1.12,20210811.,指数基金,基建工程,7.46,0.71,2.69,5.03,14.04,--
005229.OF,嘉实富时中国a50etf联接c,1.37,-0.59,20210811.,指数基金,富时中国A50,--,--,--,--,-17.90,--
005248.OF,新华沪深300指数增强a,1.50,-0.44,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-2.34,--
005287.OF,海富通创业板增强c,2.13,-0.42,20210811.,指数基金,创业板综,100.19,6.56,0.39,3.54,5.02,--
005288.OF,海富通创业板增强a,2.15,-0.42,20210811.,指数基金,创业板综,100.19,6.56,0.39,3.54,5.23,0.10
005313.OF,万家中证1000指数增强a,1.25,1.07,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,27.02,--
005314.OF,万家中证1000指数增强c,1.25,1.08,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,26.77,--
005319.OF,万家丰益上证50指数增强a,--,--,--,指数基金,--,--,--,--,--,--,--
005320.OF,万家丰益上证50指数增强c,--,--,--,指数基金,--,--,--,--,--,--,--
005390.OF,工银创业板etf联接a,1.83,-0.85,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,1.59,0.10
005391.OF,工银创业板etf联接c,1.80,-0.85,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,1.41,--
005530.OF,汇添富沪深300指数增强a,1.76,-0.45,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.50,0.10
005554.OF,南方h股联接a,0.89,0.56,20210811.,指数基金,恒生中国企业指数,--,--,2.58,5.77,-15.64,0.10
005555.OF,南方h股联接c,0.88,0.56,20210811.,指数基金,恒生中国企业指数,--,--,2.58,5.77,-15.82,--
005561.OF,创金合信中证红利低波动指数a,1.38,2.10,20210811.,指数基金,红利低波,5.41,0.57,5.88,5.55,13.71,0.10
005562.OF,创金合信中证红利低波动指数c,1.37,2.09,20210811.,指数基金,红利低波,5.41,0.57,5.88,5.55,13.59,--
005607.OF,华宝中证500增强a,1.33,0.97,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,0.18,0.10
005608.OF,华宝中证500增强c,1.31,0.97,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,-0.01,--
005613.OF,上投摩根富时reits人民币,1.29,-0.90,20210810.,指数基金,--,--,--,--,--,19.28,0.10
005614.OF,上投摩根富时reits美元现钞,0.20,-0.90,20210810.,指数基金,--,--,--,--,--,18.44,--
005615.OF,上投摩根富时reits美元现汇,0.20,-0.90,20210810.,指数基金,--,--,--,--,--,18.44,--
005623.OF,广发中债1-3年农发债指数a,1.04,0.01,20210811.,指数基金,中债1-3年农发行债券指数(总值)财富指数,--,--,--,--,2.29,0.10
005624.OF,广发中债1-3年农发债指数c,1.07,0.00,20210811.,指数基金,中债1-3年农发行债券指数(总值)财富指数,--,--,--,--,2.24,--
005633.OF,建信中证500指数增强c,3.05,1.27,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.15,--
005639.OF,平安300etf联接a,1.41,-0.51,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.23,0.10
005640.OF,平安300etf联接c,1.39,-0.51,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.40,--
005658.OF,华夏沪深300etf联接c,1.69,-0.51,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.41,--
005659.OF,恒生联接c,1.01,0.25,20210811.,指数基金,恒生指数,--,--,2.65,4.89,-10.78,--
005675.OF,易方达恒生中国企业etf联接人民币份额c,1.06,0.50,20210811.,指数基金,恒生中国企业指数,--,--,2.58,5.77,-17.54,--
005676.OF,易方达标普消费品指数(rmb)c,2.89,0.14,20210810.,指数基金,--,--,--,--,--,7.58,--
005691.OF,南方中证100c,1.62,-0.49,20210811.,指数基金,中证100,13.07,1.37,2.62,5.52,-13.24,--
005693.OF,广发中证军工etf联接c,1.33,-0.35,20210811.,指数基金,中证军工,77.96,4.53,0.32,3.09,15.55,--
005702.OF,恒生前海港股通高股息低波动指数,0.94,1.46,20210811.,指数基金,港股通高股息低波动,--,--,7.34,5.08,2.57,--
005727.OF,嘉实中创400etf联接c,1.26,0.43,20210811.,指数基金,中创400,38.67,3.51,0.83,4.83,11.00,--
005733.OF,华夏上证50etf联接c,1.13,-0.74,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-16.83,--
005734.OF,华夏沪港通恒生etf联接c,1.22,0.26,20210811.,指数基金,恒生指数,--,--,2.65,4.89,-9.99,--
005735.OF,华夏msci中国a股国际通etf联接c,1.44,-0.17,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-6.57,--
005737.OF,博时上证50etf联接c,1.28,-0.68,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-15.20,--
005761.OF,招商msci中国a股国际通etf联接a,1.59,-0.20,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-6.35,0.10
005762.OF,招商msci中国a股国际通etf联接c,1.56,-0.19,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-6.59,--
005770.OF,信达澳银中证沪港深高股息精选,1.07,0.09,20210811.,指数基金,沪港深高股息HKD,16.61,3.25,1.96,10.52,1.10,0.10
005788.OF,msci联接a,1.83,-0.21,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-6.93,0.10
005789.OF,msci联接c,1.81,-0.21,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-7.12,--
005795.OF,博时中证500指数增强c,1.56,0.94,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,7.68,--
005813.OF,华安ces港股通精选100etf联接a,1.06,-0.03,20210811.,指数基金,中华港股通精选100CNY,--,--,2.04,3.94,-12.08,0.10
005814.OF,华安ces港股通精选100etf联接c,1.07,-0.03,20210811.,指数基金,中华港股通精选100CNY,--,--,2.04,3.94,-12.24,--
005829.OF,建信msci联接a,1.72,-0.16,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-4.68,0.10
005830.OF,建信msci联接c,1.70,-0.16,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-4.88,--
005832.OF,景顺长城msci中国a股国际通etf联接,1.65,-0.22,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-3.13,0.10
005838.OF,创金合信中债1-3年政金债a,1.03,0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,2.31,--
005839.OF,创金合信中债1-3年政金债c,1.02,0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,2.26,--
005867.OF,国泰沪深300指数c,1.19,-0.47,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.87,--
005868.OF,平安msci中国a股国际etf联接a,1.79,-0.23,20210811.,指数基金,MSCI中国A股国际,--,--,--,--,-3.94,0.10
005869.OF,平安msci中国a股国际etf联接c,1.78,-0.24,20210811.,指数基金,MSCI中国A股国际,--,--,--,--,-3.98,--
005870.OF,鹏华沪深300指数增强,1.53,-0.29,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-5.18,0.10
005873.OF,建信创业板etf联接a,2.13,-0.84,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,3.39,0.10
005874.OF,建信创业板etf联接c,2.11,-0.84,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,3.19,--
005880.OF,建信上证50etf联接a,1.47,-0.68,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-14.52,0.10
005881.OF,建信上证50etf联接c,1.46,-0.67,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-14.69,--
005918.OF,天弘沪深300etf联接c,1.41,-0.51,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.06,--
005919.OF,天弘中证500etf联接c,1.31,0.76,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.16,--
005965.OF,安信中证500指数增强a,2.06,0.59,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,10.54,0.10
005966.OF,安信中证500指数增强c,2.04,0.59,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,10.32,--
005994.OF,国投瑞银中证500指数量化增强a,2.35,1.09,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,17.22,0.10
005998.OF,嘉实深证基本面120联接c,1.51,0.67,20210811.,指数基金,深证F120,24.24,2.94,1.44,6.49,-9.88,--
005999.OF,嘉实中证金融地产etf联接c,1.21,0.61,20210811.,指数基金,中证金融,7.44,0.78,3.99,5.52,-10.49,--
006020.OF,广发沪深300指数增强a,1.83,-0.24,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-15.66,0.10
006021.OF,广发沪深300指数增强c,1.81,-0.24,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-15.82,--
006034.OF,富国msci中国a股国际通指数增强,2.16,0.16,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-1.88,0.10
006048.OF,长城中证500a,1.76,1.30,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,11.89,0.10
006063.OF,景顺长城msci中国a股国际通指数增强,1.81,-0.06,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-1.35,0.10
006075.OF,博时标普500联接c,3.19,0.09,20210810.,指数基金,--,--,--,--,--,13.11,--
006087.OF,华泰柏瑞中证500etf联接c,0.87,0.82,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,11.31,--
006098.OF,华宝券商etf联接a,1.51,-0.80,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-3.17,0.10
006119.OF,银华中证央企结构调整etf联接,1.25,0.83,20210811.,指数基金,结构调整,17.65,1.38,2.44,4.08,4.41,0.10
006127.OF,华宝香港中小c,1.80,-0.18,20210811.,指数基金,--,--,--,--,--,-5.01,--
006129.OF,华安中证500低波etf联接a,1.38,0.43,20210811.,指数基金,500SNLV,15.60,1.30,2.44,4.32,13.32,0.10
006130.OF,华安中证500低波etf联接c,1.36,0.43,20210811.,指数基金,500SNLV,15.60,1.30,2.44,4.32,13.10,--
006131.OF,华泰柏瑞沪深300etf联接c,1.21,-0.49,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.30,--
006143.OF,恒生前海中证质量成长低波动指数a,1.44,-0.15,20210811.,指数基金,质量低波,12.70,2.44,2.84,10.29,0.17,--
006144.OF,恒生前海中证质量成长低波动指数c,1.43,-0.15,20210811.,指数基金,质量低波,12.70,2.44,2.84,10.29,-0.04,--
006165.OF,建信中证1000指数增强a,2.10,0.72,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,24.96,0.10
006166.OF,建信中证1000指数增强c,2.08,0.72,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,24.72,--
006196.OF,华夏中证央企etf联接a,1.34,0.81,20210811.,指数基金,结构调整,17.65,1.38,2.44,4.08,4.20,0.10
006197.OF,华夏中证央企etf联接c,1.33,0.81,20210811.,指数基金,结构调整,17.65,1.38,2.44,4.08,4.04,--
006214.OF,平安500etf联接a,1.57,0.73,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.62,0.10
006215.OF,平安500etf联接c,1.57,0.73,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.56,--
006220.OF,工银上证50etf联接a,1.40,-0.69,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-16.14,0.10
006221.OF,工银上证50etf联接c,1.38,-0.69,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-16.25,--
006224.OF,中银中债3-5年期农发行债券指数,1.06,-0.02,20210811.,指数基金,中债3-5年农发行债券指数(总值)财富指数,--,--,--,--,3.03,0.10
006246.OF,华夏中小企业100etf联接a,1.75,-0.01,20210811.,指数基金,中小100,35.25,4.68,0.89,7.30,-8.14,0.10
006247.OF,华夏中小企业100etf联接c,1.73,-0.01,20210811.,指数基金,中小100,35.25,4.68,0.89,7.30,-8.33,--
006248.OF,华夏创业板etf联接a,2.38,-0.83,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,3.80,0.10
006249.OF,华夏创业板etf联接c,2.36,-0.83,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,3.64,--
006255.OF,中邮中证价值回报量化策略指数a,1.32,0.67,20210811.,指数基金,价值回报,11.92,1.93,2.79,8.85,4.49,--
006256.OF,中邮中证价值回报量化策略指数c,1.30,0.67,20210811.,指数基金,价值回报,11.92,1.93,2.79,8.85,4.29,--
006263.OF,易方达香港恒生综合小型股指数(qdii-lof)c,1.36,0.60,20210811.,指数基金,恒生综合小型股指数,--,--,2.65,4.16,-8.49,--
006286.OF,mscietf联接a,1.68,-0.20,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-6.06,0.10
006293.OF,mscietf联接c,1.66,-0.19,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-6.18,--
006327.OF,易方达中证海外中国互联网50etf联接人民币a,1.21,2.45,20210810.,指数基金,中国互联网50,--,--,0.61,--,-38.82,0.10
006328.OF,易方达中证海外中国互联网50etf联接人民币c,1.19,2.44,20210810.,指数基金,中国互联网50,--,--,0.61,--,-38.93,--
006329.OF,易方达中证海外中国互联网50etf联接美元a,0.19,2.48,20210810.,指数基金,中国互联网50,--,--,0.61,--,-39.26,--
006330.OF,易方达中证海外中国互联网50etf联接美元c,0.18,2.46,20210810.,指数基金,中国互联网50,--,--,0.61,--,-39.37,--
006339.OF,银华msci中国a股etf发起式联接a,1.59,-0.19,20210811.,指数基金,MSCI中国A股指数,15.62,1.43,2.33,4.78,-5.07,0.10
006341.OF,中金msci质量a,2.60,-1.09,20210811.,指数基金,--,--,--,--,--,-14.98,0.10
006342.OF,中金msci质量c,2.59,-1.09,20210811.,指数基金,--,--,--,--,--,-15.09,--
006343.OF,中金msci低波动a,1.41,-0.42,20210811.,指数基金,--,--,--,--,--,-12.19,0.10
006344.OF,中金msci低波动c,1.40,-0.42,20210811.,指数基金,--,--,--,--,--,-12.31,--
006349.OF,中金msci价值a,1.20,0.17,20210811.,指数基金,--,--,--,--,--,-7.87,0.10
006350.OF,中金msci价值c,1.20,0.16,20210811.,指数基金,--,--,--,--,--,-7.98,--
006351.OF,中金msci红利a,1.17,0.83,20210811.,指数基金,--,--,--,--,--,-12.18,0.10
006352.OF,中金msci红利c,1.17,0.84,20210811.,指数基金,--,--,--,--,--,-12.29,--
006355.OF,华宝香港大盘c,1.07,0.81,20210811.,指数基金,恒生中国(香港上市)25指数,--,--,2.99,6.19,-14.07,--
006363.OF,建信深证基本面60etf联接c,2.88,0.78,20210811.,指数基金,深证F60,24.23,3.10,1.46,6.85,-11.35,--
006381.OF,华夏恒生etf联接c,1.42,0.19,20210811.,指数基金,恒生指数,--,--,2.65,4.89,-9.85,--
006382.OF,华夏中证500etf联接c,0.79,0.75,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.46,--
006395.OF,华夏上证50ah优选指数(lof)c,1.53,-0.58,20210811.,指数基金,50AH优选HKD,6.39,0.66,3.21,5.42,-15.23,--
006409.OF,富国中债-1-3年国开行债券指数a,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.36,--
006410.OF,富国中债-1-3年国开行债券指数c,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.31,--
006413.OF,中信建投北京50联接a,--,--,--,指数基金,--,--,--,--,--,--,--
006414.OF,中信建投北京50联接c,--,--,--,指数基金,--,--,--,--,--,--,--
006438.OF,博时央调etf联接a,1.33,0.81,20210811.,指数基金,结构调整,17.65,1.38,2.44,4.08,4.50,0.10
006439.OF,博时央调etf联接c,1.32,0.81,20210811.,指数基金,结构调整,17.65,1.38,2.44,4.08,4.29,--
006440.OF,中信建投中证500增强a,1.61,0.88,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,17.59,0.10
006441.OF,中信建投中证500增强c,1.60,0.87,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,17.42,--
006451.OF,华富中证5年恒定久期国开债指数a,1.07,-0.05,20210811.,指数基金,5年久期国开债,--,--,--,--,3.62,0.10
006452.OF,华富中证5年恒定久期国开债指数c,1.07,-0.05,20210811.,指数基金,5年久期国开债,--,--,--,--,3.58,--
006473.OF,招商中债1-5年进出口行a,1.02,0.01,20210811.,指数基金,中债1-5年进出口行债券指数(总值)财富指数,--,--,--,--,2.32,0.10
006474.OF,招商中债1-5年进出口行c,1.02,0.01,20210811.,指数基金,中债1-5年进出口行债券指数(总值)财富指数,--,--,--,--,2.27,--
006479.OF,广发纳斯达克100指数(qdii)c,4.28,-0.54,20210810.,指数基金,纳斯达克100,--,--,0.59,--,11.83,--
006480.OF,广发纳斯达克100指数(美元)c,0.66,-0.54,20210810.,指数基金,纳斯达克100,--,--,0.59,--,11.05,--
006481.OF,海富通上清所短融债券a,1.01,0.01,20210811.,指数基金,中高等级短融(全价指数),--,--,--,--,1.56,0.10
006484.OF,广发中债1-3年国开债指数a,1.03,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.32,0.10
006485.OF,广发中债1-3年国开债指数c,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.27,--
006486.OF,广发中证1000指数a,1.62,0.71,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,19.64,0.10
006487.OF,广发中证1000指数c,1.61,0.71,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,19.40,--
006491.OF,南方1-3年国开债a,1.02,0.01,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.20,0.10
006492.OF,南方1-3年国开债c,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.15,--
006493.OF,南方3-5年农发债a,1.05,-0.03,20210811.,指数基金,中债3-5年农发行债券指数(总值)财富指数,--,--,--,--,3.14,0.10
006494.OF,南方3-5年农发债c,1.06,-0.02,20210811.,指数基金,中债3-5年农发行债券指数(总值)财富指数,--,--,--,--,3.11,--
006524.OF,前海开源msci中国a股指数a,1.64,-0.39,20210811.,指数基金,MSCI中国A股指数,15.62,1.43,2.33,4.78,-9.43,0.10
006525.OF,前海开源msci中国a股指数c,1.63,-0.39,20210811.,指数基金,MSCI中国A股指数,15.62,1.43,2.33,4.78,-9.51,--
006560.OF,华夏中证四川国改etf发起式联接a,1.61,0.73,20210811.,指数基金,四川国改,34.61,4.21,1.16,6.46,5.39,0.10
006561.OF,华夏中证四川国改etf发起式联接c,1.59,0.73,20210811.,指数基金,四川国改,34.61,4.21,1.16,6.46,5.22,--
006569.OF,国联安中证医药100c,1.44,-1.12,20210811.,指数基金,医药100,49.36,7.16,0.65,8.02,-4.62,--
006578.OF,泰康中证港股通非银指数a,1.16,0.28,20210811.,指数基金,HKC非银,--,--,3.64,5.94,-9.89,0.10
006579.OF,泰康中证港股通非银指数c,1.15,0.28,20210811.,指数基金,HKC非银,--,--,3.64,5.94,-10.06,--
006593.OF,博道中证500增强a,2.19,1.36,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,15.89,--
006594.OF,博道中证500增强c,2.18,1.36,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,15.72,--
006600.OF,人保沪深300指数,1.58,-0.40,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-8.98,--
006611.OF,人保中证500,1.69,0.69,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,7.61,--
006614.OF,嘉实港股通新经济指数(lof)c,1.40,-0.68,20210811.,指数基金,恒生港股通新经济指数,--,--,0.59,2.97,-12.69,--
006633.OF,博时中债1-3政金债指数a,1.02,0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,2.27,0.10
006634.OF,博时中债1-3政金债指数c,1.02,0.00,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,2.20,--
